Titles,DOIs
Lessons learned from tropical cyclone pam to vanuatu (melanesia): coastal hazards and flash flood and damages,10.4000/GEOMORPHOLOGIE.11842
Study of urban flood control planning in taiyuan,10.4028/WWW.SCIENTIFIC.NET/AMR.838-841.1709
Traditional ecological knowledge and flood risk management: a preliminary case study of the rwenzori,10.4102/JAMBA.V10I1.536
"Defining population health vulnerability following an extreme weather event in an urban pacific island environment: honiara, solomon islands",10.4269/AJTMH.16-0177
Climate change and urban development in southern africa: the case of ekurhuleni municipality (emm) in south africa,10.4314/WSA.V40I4.20
Ethics in disaster management,10.4401/AG-5633
"Preliminary analysis of the november 10, 2014 rainstorm and related landslides in the lower lavagna valley (eastern liguria)",10.4408/IJEGE.2017-01.S-01
"Heavy rains triggering flash floods in urban environment: a case from chiavari (genoa metropolitan area, italy)",10.4408/IJEGE.2017-01.S-05
Warning! The use of meteorological information during a flash-flood warning process,10.5194/ASR-3-99-2009
"Hydrometeorological extremes derived from taxation records for south-eastern moravia, czech republic, 1751-1900 ad",10.5194/CP-8-467-2012
Hanze: a pan-european database of exposure to natural hazards and damaging historical floods since 1870,10.5194/ESSD-10-565-2018
Overview of the first hymex special observation period over italy: observations and model results,10.5194/HESS-18-1953-2014
"Quantification of hydrologic impacts of climate change in a mediterranean basin in sardinia, italy, through high-resolution simulations",10.5194/HESS-18-5201-2014
Assessing changes in urban flood vulnerability through mapping land use from historical information,10.5194/HESS-20-161-2016
Flood risk perception and adaptation capacity: a contribution to the socio-hydrology debate,10.5194/HESS-21-3183-2017
Impact of multiple radar reflectivity data assimilation on the numerical simulation of a flash flood event during the hymex campaign,10.5194/HESS-21-5459-2017
Inundation analysis of metro systems with the storm water management model incorporated into a geographical information system: a case study in shanghai,10.5194/HESS-23-4293-2019
"Flood risk assessment of river kabul and swat catchment area: district charsadda, pakistan.",10.5194/ISPRS-ARCHIVES-XLII-4-W9-105-2018
"Assessment of the susceptibility of roads to flooding based on geographical information - test in a flash flood prone area (the gard region, france)",10.5194/NHESS-10-793-2010
Sensitivity of a mesoscale model to different convective parameterization schemes in a heavy rain event,10.5194/NHESS-11-343-2011
Linking the actors and policies throughout the disaster management cycle by `agreement on objectives' - a new output-oriented management approach,10.5194/NHESS-12-1085-2012
"Flood hazards and masonry constructions: a probabilistic framework for damage, risk and resilience at urban scale",10.5194/NHESS-12-1799-2012
Damaging events along roads during bad weather periods: a case study in calabria (italy),10.5194/NHESS-12-365-2012
An early warning system for flash floods in hyper-arid egypt,10.5194/NHESS-12-443-2012
Towards a database on societal impact of mediterranean floods within the framework of the hymex project,10.5194/NHESS-13-1337-2013
Stakeholders' issues for action during the warning process and the interpretation of forecasts' uncertainties,10.5194/NHESS-13-1469-2013
"Modelling the benefits of flood emergency management measures in reducing damages: a case study on sondrio, italy",10.5194/NHESS-13-1913-2013
"Combining criteria for delineating lahar- and flash-flood-prone hazard and risk zones for the city of arequipa, peru",10.5194/NHESS-13-339-2013
A database of high-impact weather events in greece: a descriptive impact analysis for the period 2001-2011,10.5194/NHESS-13-727-2013
Medex: a general overview,10.5194/NHESS-14-1965-2014
"Rainstorms able to induce flash floods in a mediterranean-climate region (calabria, southern italy)",10.5194/NHESS-14-2423-2014
Flash flood occurrence and relation to the rainfall hazard in a highly urbanized area,10.5194/NHESS-15-1859-2015
"Geohydrological hazards and urban development in the mediterranean area: an example from genoa (liguria, italy)",10.5194/NHESS-15-2631-2015
Analysis of changes in post-seismic landslide distribution and its effect on building reconstruction,10.5194/NHESS-15-817-2015
"What if the 25 october 2011 event that struck cinque terre (liguria) had happened in genoa, italy? Flooding scenarios, hazard mapping and damage estimation",10.5194/NHESS-16-1737-2016
Construction of an integrated social vulnerability index in urban areas prone to flash flooding,10.5194/NHESS-17-1541-2017
Mobrisk: a model for assessing the exposure of road users to flash flood events,10.5194/NHESS-17-1631-2017
Damage assessment in braunsbach 2016: data collection and analysis for an improved understanding of damaging processes during flash floods,10.5194/NHESS-17-2163-2017
"Landslides, floods and sinkholes in a karst environment: the 1-6 september 2014 gargano event, southern italy",10.5194/NHESS-17-467-2017
"Rainfall events with shallow landslides in the entella catchment, liguria, northern italy",10.5194/NHESS-18-2367-2018
Reconstruction and simulation of an extreme flood event in the lago maggiore catchment in 1868,10.5194/NHESS-18-2717-2018
Enhancement of large-scale flood risk assessments using building-material-based vulnerability curves for an object-based approach in urban and rural areas,10.5194/NHESS-19-1703-2019
"A flood-risk-oriented, dynamic protection motivation framework to explain risk reduction behaviours",10.5194/NHESS-20-287-2020
Flash floods versus river floods - a comparison of psychological impacts and implications for precautionary behaviour,10.5194/NHESS-20-999-2020
Historic records and gis applications for flood risk analysis in the salento peninsula (southern italy),10.5194/NHESS-5-833-2005
Radar analysis of the life cycle of mesoscale convective systems during the 10 june 2000 event,10.5194/NHESS-5-959-2005
Geomorphological method in the elaboration of hazard maps for flash-floods in the municipality of jucuaran (el salvador),10.5194/NHESS-7-455-2007
Dealing with uncertainty: an analysis of the severe weather events over italy in 2006,10.5194/NHESS-9-1775-2009
Operational tools to help stakeholders to protect and alert municipalities facing uncertainties and changes in karst flash floods,10.5194/PIAHS-370-201-2015
"Small-scale (flash) flood early warning in the light of operational requirements: opportunities and limits with regard to user demands, driving data, and hydrologic modeling techniques",10.5194/PIAHS-373-201-2016
"Vector-control response in a post-flood disaster setting, honiara, solomon islands, 2014",10.5365/WPSAR.2015.6.3.004
"The braunsbach flashflood of mai 29th, 2016-origin, pathways and impacts of an extreme hydro-meteorological event. Part 2: geomorphological processes and damage analysis",10.5675/HYWA\_20173\_2
Regional and flash flood as a limiting factor for development,10.5817/CZ.MUNI.P210-7861-2015-82
"Flood proofing of ranjit, a popular variety of north-eastern india through transfer of sub1 rice qtl by modified marker-assisted backcross breeding",10.5958/0975-6906.2018.00021.4
Experiments on impact-based forecasting and risk-based warning of typhoon in china,10.6057/2018TCRR01.04
Long-term consequences of flooding: a case study of the 2011 queensland floods,NA
Lessons learned from event detection from arabic tweets: the case of jordan flash floods near dead sea,NA
A comparison review based on classifiers and regression models for the investigation of flash floods,NA
Flash floods in the caribbean: environmental conditions and mitigation,NA
The effectiveness of engineering geology in coping with flash floods: a systems approach,NA
Ranking flash flood warnings: a better way to relate threat to the public?,NA
Prediction and mitigation of flash floods (adopted by the ams council on 14 february 2000),NA
"The catastrophic flood event of the 18(th) of october, 1973, in the rambla of albunol (la rabita, granada, spain)",NA
"The flood in carlsbad (bohemia) on 9 may 1582: its causes, damages and response",NA
A new flash flood action paradigm,NA
Heavy rainfall effects in mexico during early october 1999,NA
"Flash flood mitigation in uganda, equatorial east africa",NA
A hydro-social modeling approach for flash flooding alleviation,NA
"Warning systems for flash floods: research needs, opportunities and trends",NA
Us flash flood warning dissemination via radio and television,NA
Measures and solutions for flood management local case - flash flood in gdansk 2001,NA
"Management strategies for flash floods in saxony, germany",NA
Ashland creek - embracing human amenity needs in urban stream restoration design,NA
Crisis intervention - psychological care for the saxony flash flood in the case of muldentalkreis (grimma),NA
Floods in may and june 2010 in the territory of the morava river basin,NA
Design of expert system for catastrophe response-case study : northern tehran flash flood,NA
Can understanding backwater effects help us to prepare for and manage deluges?,NA
The psychosocial impact of flash flooding: a qualitative study with residents in the uk midlands,NA
Historical stone arch bridges under horizontal debris flow impact,NA
A two-tier solution for disaster relief management,NA
High resolution x-band radar rainfall estimates for a mediterranean to hyper-arid transition area,NA
Researches concerning installing forest vegetation on degraded lands,NA
Heavy rain and flash floods: implementation aspects in the practical design process,NA
Flash flood warning system using scada system: laboratory level,NA
Character and cause of flash flood in the upper reaches of min river after wenchuan earthquake,NA
"Flash floods - causes, effects, possibilities of modelling with hydroinformatic tools",NA
Hydrological analyses of flood events in bulgaria in 2014,NA
A theoretical discussion and case study on the development of smart storm drainage unit for compact cities,NA
Flood prevention concept for communities affected by heavy precipitation,NA
"Flash floods: the role of science, forecasting, and communications in reducing loss of life and economic disruptions an information statement of the american meteorological society adopted by the ams council on april 17, 2017",NA
Urban flood warning system social benefits,NA
Analyzing social media texts and images to assess the impact of flash floods in cities,NA
Children and families,NA
Flashflood simbach 2016: documentation and analysis,NA
Using big data in early warning system of flash floods in mauritius,NA
"Farmers' perception on the sustainability of as a climate change adaptation strategy in agusan agusan del sur and north cotobato, philippines",NA
Applications of remotely sensed data in flood prediction and monitoring: report of the ceos disaster management support group flood team,NA
Assessing the effects and effectiveness of flash flood mitigation strategies,NA
Role of education in reducing flash flood effects,NA
Anthropogenic impacts on the formation of flash floods and measures for their compensation,NA
Mapping urbanised areas and the flash flood hazards in northern france: challenges and perspectives,NA
"Flash floods, low water crossings and swift water rescues in texas",NA
A torrential precipitation event in the eastern part of romania-a case study,NA
Flash floods mitigation measures for ungauged basins (case study pojorata subbasin),NA
Protection from flash floods,NA
Critical success factors of the recovery system at the municipal level of disaster management,NA
"Affectation cartography for natural hazards in poas canton, costa rica",NA
Hydrological analysis of historical floods in the upper valley of cauca river,NA
Environmental impacts of debris flows-a case study of the two debris-flow zones in the garhwal himalaya,NA
Extreme events in surface wind: predicting turbulent gusts,NA
"Revelations from 21 years of providing flash flood warning support in denver, colorado",NA
"Potential areas of flood impoundment in human environments, bukkosd valley, sw hungary",NA
Urbanizing alluvial fans as flood-conveying and flood-reducing systems: lessons from the october 1997 eilat flood,NA
A multi-valued discrete particle swarm optimization for the evacuation vehicle routing problem,NA
The integrated approach to flash flood management,NA
Flash floods on a forested and heavily populated catchment. Case study for suha basin (romania),NA
"Simulation of a heavy rainfall event of 11 june 2007 over chittagong, bangladesh using mm5 model",NA
East coast lows and the pasha bulker storm-lessons learned nine years on,NA
"Landslide hazards associated with flash-floods, with examples from the december 1999 disaster in venezuela",NA
Impact of postwar agricultural soil management on surface hydrology and river peak discharge,NA
Implementation of the topkapi model in south africa: initial results from the liebenbergsvlei catchment,NA
Dealing with flash floods: contemporary issues and future possibilities,NA
The inventory and characterization of torrential flood phenomenon in serbia,NA
"Degradation of field terraces in the maltese islands - reasons, processes and effects",NA
"Urban flash flood monitoring, mapping, and forecasting via a tailored sensor network system",NA
"August 2012 cloudburst and subsequent flash flood in the asi ganga, a tributary of the bhagirathi river, garhwal himalaya, india",NA
Geological hazards and anthropogenic impacts on the environment in malawi: lesson from a case study of debris flows in zomba,NA
Improved flash flood predictions,NA
"Quantitative landslide risk assessment of cairns, australia",NA
"Psychological impacts of flash flooding in the klang valley, malaysia",NA
The effects of urbanization on the natural drainage patterns and the increase of urban floods: case study metropolis of mashhad-iran,NA
Risk analysis: major flash floods in the upper river basin of mures. Stanceni,NA
Spatial coexistence and temporal logout between mainland and marine hazards in upper normandy (nw france),NA
Reducing the risk of flooding and avoiding the losses caused by flash floods,NA
Reducing risk from lahar hazard in volcanic catchment: retarding basin site assessment,NA
Vulnerability of transport infrastructure to extreme weather events in small rural catchments,NA
"Characterization of flood hazard at a municipal level. A case study in tillaberi region, niger",NA
Developing agricultural damage simulation in the impact of typhoon and flashflood in laguna,NA
Flood risk assessments of transportation networks utilizing depth-disruption function,NA
Managing urban water disasters in gujarat: risk assessment and risk reduction,NA
"Hazards influencing coastal plains management along the eastern stretch of the gulf of suez, using remote sensing and gis",NA
"Flash floods risk perception to support social resilience in the bend subcarpathians, romania",NA
Small watershed management as a tool of flood risk prevention,NA
The impact of catchment management on emergency management of flash-flood,NA
Weather extremes : a spatio-temporal perspectives,NA
A smartphone application to help alert in case of flash floods,NA
"Social characteristics and vulnerabilities of disaster-prone communities in infanta, quezon, philippines",NA
Climate change adaptation in urban india: the inclusive formulation of local adaptation strategies,NA
Flash flood risk management for small basins in the mountain-plateau transition zone. Case study for sucevita catchment (romania),NA
Cloudburst and landslides in uttarakhand : a nature's fury?,NA
"The assessment of the cultural heritage's vulnerability to flash floods in bahlui river basin, iasi county",NA
Flash floods risk variation of steep drainage basins in calabria (italy) and the role of rainfall and anthropogenic modifications since 1800,NA
Motorist behaviour during the 2015 shoalhaven floods,NA
A way of determining how small river basins of somes river are susceptible to flash-floods,NA
Specificities and risk due to `flash floods' in the north of france (parisian basin),NA
Microbial water quality risks to public health: potable water assessment for a flood-affected town in northern pakistan,NA
Towards river rehabilitation as an integrated approach to flood management in asian cities,NA
Flood disasters and insurance,NA
Estimating life loss for dam safety and risk assessment: lessons from case histories,NA
"Strengthening local capacity in disaster risk reduction (case study: disaster resilient village in batu city, east java, indonesia)",NA
Climate impact on drinking water protected areas,NA
Geomorphological hazard and cultural heritage: a case-study of the roman bridges in the finalese karstic area (western liguria - italy),NA
Gis and social vulnerability analysis,NA
Climate change and rural livelihoods-adaptation and vulnerability in rajasthan,NA
