"Structure and evolution of flash flood producing storms in a small urban watershed","10.1002/2015JD024478"
"Characterizing submergence survival strategy in rice via chlorophyll fluorescence","10.1111/J.1439-037X.2011.00494.X"
"Longitudinal stage profiles forecasting in rivers for flash floods","10.1016/J.JHYDROL.2010.05.028"
"Dynamic routing modeling for flash flood forecast in river system","10.1007/S11069-009-9394-Z"
"Reconstructing an extreme flood from boulder transport and rainfall-runoff modelling: wadi isla, south sinai, egypt","10.1016/J.GLOPLACHA.2009.11.008"
"Flood management and flood warning system in china","10.1002/IRD.513"
"Textural and compositional characterization of wadi feiran deposits, sinai peninsula, egypt, using radarsat-1, palsar, srtm and etm plus data","10.3390/RS2010052"
"Evaluating the impact of lightning data assimilation on mesoscale model simulations of a flash flood inducing storm","10.1016/J.ATMOSRES.2009.05.008"
"Flash flood forecasting by statistical learning in the absence of rainfall forecast: a case study",NA
"Nesting ecology of podocnemis erythrocephala (testudines,podocnemididae) of the rio negro, amazonas, brazil","10.2744/CCB-0611.1"
"Resuspension potential of surficial sediments in saguenay fjord (quebec, canada)","10.1016/J.MARGEO.2005.07.001"
"Air-water and momentum exchanges in unsteady surging waters: an experimental study","10.1016/J.EXPTHERMFLUSCI.2005.03.017"
"Diversity and stability of aquatic macrophyte community in three shallow lakes associated to a floodplain system in the south of brazil",NA
"A large landslide on the urban fringe of metropolitan phoenix, arizona","10.1016/J.GEOMORPH.2004.09.022"
"Predictability of prototype flash flood events in the western mediterranean under uncertainties of the precursor upper-level disturbance: the hydroptimet case studies","10.5194/NHESS-5-505-2005"
"Distributed denial of service detection using tcp/ip header and traffic measurement analysis",NA
"Dam-breach flood wave propagation using dimensionless parameters","10.1061/(ASCE)0733-9429(2003)129:10(777)"
"Application of kinematic wave theory for predicting flash flood hazards on coupled alluvial fan-piedmont plain landforms","10.1002/HYP.1241"
"Desalination of brackish groundwater in egypt","10.1016/S0011-9164(02)01044-5"
"Some meteorological characteristics of significant tornado events occurring in proximity to flash flooding","10.1175/1520-0434(2002)017<0155:SMCOST>2.0.CO;2"
"Photocopying living chains. 2. Time-dependent measurements","10.1021/MA0100798"
"Synoptic-scale control over modern rainfall and flood patterns in the levant drylands with implications for past climates","10.1175/JHM-D-18-0013.1"
"When will we detect changes in short-duration precipitation extremes?","10.1175/JCLI-D-17-0435.1"
"Integrated automatic and continuous bedload monitoring in gravel bed rivers","10.1016/J.GEOMORPH.2016.10.020"
"Triggering and evolution of a deep convective system in the mediterranean sea: modelling and observations at a very fine scale","10.1002/QJ.2977"
"Comparing different infiltration methods of the hec-hms model: the case study of the mesima torrent (southern italy)","10.1002/LDR.2591"
"Hydrometeorological characterization of a flash flood associated with major geomorphic effects: assessment of peak discharge uncertainties and analysis of the runoff response","10.1175/JHM-D-16-0081.1"
"Synoptic situations of extreme hourly precipitation over china","10.1175/JCLI-D-16-0057.1"
"A geochemical and sedimentological perspective of the life cycle of neapolis harbor (naples, southern italy)","10.1016/J.QUASCIREV.2016.08.026"
"Flash flood detection in urban cities using ultrasonic and infrared sensors","10.1109/JSEN.2016.2592359"
"Severe convection in the mediterranean from microwave observations and a convection-permitting model","10.1002/QJ.2611"
"Summer-time lightning activity and its relation with precipitation: diurnal variation over maritime, coastal and continental areas","10.1016/J.ATMOSRES.2012.10.015"
"Forecasting flash floods using data-based mechanistic models and nora radar rainfall forecasts","10.1080/02626667.2013.842647"
"Mass and energy flux estimates at different spatial resolutions in a heterogeneous area through a distributed energywater balance model and remote-sensing data","10.1080/01431161.2012.716924"
"Well-balanced shallow water flow simulation on quadtree cut cell grids","10.1016/J.ADVWATRES.2012.01.003"
"Runoff, erosion, and the sustainability of ancient irrigation systems in the central negev desert",NA
"Forensic hydro-meteorological analysis of an extreme flash flood: the 2016-05-29 event in braunsbach, sw germany","10.1016/J.SCITOTENV.2018.02.241"
"Review of urban surface parameterizations for numerical climate models","10.1016/J.UCLIM.2017.10.006"
"Vehicle classification and speed estimation using combined passive infrared/ultrasonic sensors","10.1109/TITS.2017.2727224"
"Open storm: a complete framework for sensing and control of urban watersheds","10.1039/C7EW00374A"
"Physiological responses to alternative flooding and drought stress episodes in two willow (salix spp.) Clones","10.1139/CJFR-2016-0202"
"Analysis of a localized flash-flood event over the central mediterranean","10.1016/J.ATMOSRES.2016.08.007"
"Assessing the impact of arid area urbanization on flash floods using gis, remote sensing, and hec-hms rainfall-runoff modeling","10.2166/NH.2016.133"
"Is there really ``nothing you can do? Pathways to enhanced flood-risk preparedness","10.1016/J.JHYDROL.2016.10.009"
"Upper limits of flash flood stream power in europe","10.1016/J.GEOMORPH.2015.11.005"
"Moving boulders in flash floods and estimating flow conditions using boulders in ancient deposits","10.1111/SED.12274"
"Estimating a-priori kinematic wave model parameters based on regionalization for flash flood forecasting in the conterminous united states","10.1016/J.JHYDROL.2016.06.011"
"Within- and among-population variation in vital rates and population dynamics in a variable environment","10.1890/15-1808.1"
"Role of silica and nitrogen interaction in submergence tolerance of rice","10.1016/J.ENVEXPBOT.2016.02.008"
"Facies architecture and palaeoenvironmental implications of the upper cretaceous (santonian) csehbanya formation at the iharkut vertebrate locality (bakony mountains, northwestern hungary)","10.1016/J.PALAEO.2015.10.018"
"Rapid proliferation of vibrio parahaemolyticus, vibrio vulnificus, and vibrio cholerae during freshwater flash floods in french mediterranean coastal lagoons","10.1128/AEM.01848-15"
"Modeling of natural dam failure modes and downstream riverbed morphological changes with different dam materials in a flume test","10.1016/J.ENGGEO.2015.01.016"
"The character and causes of flash flood occurrence changes in mountainous small basins of southern california under projected climatic change","10.1016/J.EJRH.2014.02.003"
"Assessing the simple dynamical systems approach in a mediterranean context: application to the ardeche catchment (france)","10.5194/HESS-19-2427-2015"
"Natural hazards versus climate change and their potential impacts in the dry, northern himalayas: focus on the upper kali gandaki (mustang district, nepal)","10.1007/S12665-014-3087-Y"
"A process-based analysis of the suitability of copula types for peak-volume flood relationships","10.5194/PIAHS-370-183-2015"
"Rainfall-runoff modeling in a flashy tropical watershed using the distributed hl-rdhm model","10.1016/J.JHYDROL.2014.09.042"
"Self-organising maps and correlation analysis as a tool to explore patterns in excitation-emission matrix data sets and to discriminate dissolved organic matter fluorescence components","10.1371/JOURNAL.PONE.0099618"
"Forcing mechanisms of a heavy precipitation event in the southeastern adriatic area","10.1007/S11069-014-1066-Y"
"Catchment-scale storm velocity: quantification, scale dependence and effect on flood response","10.1080/02626667.2014.923889"
"Photocopying living chains. 1. Steady-state","10.1021/MA010078F"
"Dealing with flash floods: contemporary issues and future possibilities",NA
"Sensitivity of the wrf model to the lower boundary in an extreme precipitation event - madeira island case study","10.5194/NHESS-14-2009-2014"
"Evaluating a mesoscale atmosphere model and a satellite-based algorithm in estimating extreme rainfall events in northwestern turkey","10.5194/NHESS-14-611-2014"
"Asian aquarium fishes in a neotropical biodiversity hotspot: impeding establishment, spread and impacts","10.1007/S10530-013-0443-X"
"Wildfire and aspect effects on hydrologic states after the 2010 fourmile canyon fire","10.2136/VZJ2012.0089"
"The 20 february 2010 madeira island flash-floods: vhr satellite imagery processing in support of landslide inventory and sediment budget assessment","10.5194/NHESS-13-709-2013"
"The possible negative consequences of underground dam and reservoir construction and operation in coastal karst areas: an example of the hydro-electric power plant (hepp) ombla near dubrovnik (croatia)","10.5194/NHESS-13-2041-2013"
"Catchment lithology as a major control on alluvial megafan development, kohrud mountain range, central iran","10.1002/ESP.3194"
"Morphometric characterization of the carrizal basin applied to the evaluation of flash floods hazard, san juan, argentina","10.1016/J.QUAINT.2011.05.011"
"Study of recent small-scale landslides in geologically active marine areas through repeated multibeam surveys: examples from the southern italy","10.1007/978-94-007-2162-3\_51"
"Performance evaluation of interpolation methods for incorporating rain gauge measurements into nexrad precipitation data: a case study in the upper guadalupe river basin","10.1002/HYP.8096"
"Geomorphologic mapping of the menrva region of titan using cassini radar data","10.1016/J.ICARUS.2011.01.014"
"Permafrost and cold-region environmental problems of the oil product pipeline from golmud to lhasa on the qinghai-tibet plateau and their mitigation","10.1016/J.COLDREGIONS.2010.01.003"
"Flood hazard in hungary: a re-assessment","10.2478/V10085-010-0029-0"
"Reconstruction of the 1874 santa tecla's rainstorm in western catalonia (ne spain) from flood marks and historical accounts","10.5194/NHESS-10-2317-2010"
"Palaeoflood records from upper kaveri river, southern india: evidence for discrete floods during holocene","10.2478/V10003-010-0026-0"
"Characteristics analysis for the flash flood-induced debris flows","10.1007/S11069-008-9217-7"
"Characterizing overland flow on a preferential infiltration dominated hillslope: case study","10.1061/(ASCE)1084-0699(2008)13:7(563)"
"The operational mesogamma-scale analysis and forecast system of the us army test and evaluation command. Part iv: the white sands missile range auto-nowcast system","10.1175/2007JAMC1656.1"
"A statistical comparison of the properties of flash flooding and nonflooding precipitation events in portions of new york and pennsylvania","10.1175/2007WAF2006066.1"
"Approach to determine extent and depth of highway flooding","10.1061/(ASCE)1076-0342(2007)13:2(157)"
"An overview of the geoenvironmental status of the kullu valley, himachal pradesh, india","10.1007/S11629-007-0003-X"
"Clustering of heterogeneous precipitation fields for the assessment and possible improvement of lumped neural network models for streamflow forecasts","10.5194/HESS-10-485-2006"
"Moraine-dammed lakes study in the chenab and the satluj river basins using irs data",NA
"An operational flash-flood forecasting chain applied to the test cases of the eu project hydroptimet","10.5194/NHESS-5-703-2005"
"Cases of heavy precipitation and flash floods in the caribbean during el nino winters","10.1175/1525-7541(2004)005<0577:COHPAF>2.0.CO;2"
"On aladin precipitation modeling and validation in an alpine watershed","10.5194/ANGEO-21-627-2003"
"Distribution of benthic foraminiferal populations in surface sediments of the saguenay fjord, before and after the 1996 flood","10.1016/S0031-0182(01)00429-1"
"Resedimentation of the 1.8 ka taupo ignimbrite in the mohaka and ngaruroro river catchments, hawke's bay, new zealand","10.1080/00288306.2002.9514961"
"Responses of aquatic macrophytes to disturbance by flash floods in a brazilian semiarid intermittent stream","10.1646/0006-3606(2001)033[0566:ROAMTD]2.0.CO;2"
"Flash flooding in attika, greece: climatic change or urbanization?","10.1007/S13280-010-0050-3"
"Historical floods and a recent extreme rainfall event in the murgia karstic environment (southern italy)","10.1127/0372-8854/2010/0054S2-0011"
"Structure and evolution of precipitation along a cold front in the northeastern united states","10.1175/2009JHM1046.1"
"Scouring at bed sills as a response to flash floods","10.1061/(ASCE)HY.1943-7900.0000033"
"Extreme hydrological events in karst areas of slovenia, the case of the unica river basin","10.3166/GA.23.89-100"
"Water pollution and riverbank filtration for water supply along river nile, egypt","10.1007/978-94-007-0026-0\_2"
"The importance of the catchment area-length relationship in governing non-steady state hydrology, optimal junction angles and drainage network pattern","10.1016/J.GEOMORPH.2006.10.014"
"From the concept of ``kaltlufttropfen (cold air pool) to the cut-off low. The case of september 1971 in spain as an example of their role in heavy rainfalls","10.1007/S00703-006-0220-9"
"Influence of space-time rainfall variability on urban runoff",NA
"Multiscale overview of a violent tornado outbreak with attendant flash flooding","10.1175/1520-0434(2000)015<0416:MOOAVT>2.0.CO;2"
"A quantitative assessment of the nesdis auto-estimator","10.1175/1520-0434(2000)015<0397:AQAOTN>2.0.CO;2"
"Characterization of flash floods in eastern kentucky","10.1061/(ASCE)1084-0699(2000)5:3(327)"
"Depositional and erosional bedforms in late pleistocene-holocene pro-delta deposits of the gulf of patti (southern tyrrhenian margin, italy)","10.1016/J.MARGEO.2017.01.007"
"A situation-based analysis of flash flood fatalities in the united states","10.1175/BAMS-D-15-00276.1"
"A high-resolution rainfall re-analysis based on radar-raingauge merging in the cevennes-vivarais region, france","10.1016/J.JHYDROL.2016.03.058"
"Using convection-allowing ensembles to understand the predictability of an extreme rainfall event","10.1175/MWR-D-16-0083.1"
"Genesis and implication of soft-sediment deformation structures in high-energy fluvial deposits of the alaknanda valley, garhwal himalaya, india","10.1016/J.SEDGEO.2016.06.012"
"Long-term changes in the climatology of transient inverted troughs over the north american monsoon region and their effects on precipitation","10.1175/JCLI-D-15-0726.1"
"Application of an automated lspiv system in a mountainous stream for continuous flood flow measurements","10.1002/HYP.10836"
"Investigation of uttarakhand (india) disaster-2013 using weather research and forecasting model","10.1007/S11069-016-2264-6"
"Spatial and temporal characteristics of summer precipitation over central europe in a suite of high-resolution climate models","10.1175/JCLI-D-15-0463.1"
"Kedarnath disaster 2013: causes and consequences using remote sensing inputs","10.1007/S11069-015-2076-0"
"Double impact: when both tornadoes and flash floods threaten the same place at the same time","10.1175/WAF-D-15-0084.1"
"Long wave flow interaction with a single square structure on a sloping beach","10.3390/JMSE3030821"
"Parameter regionalization for a process-oriented distributed model dedicated to flash floods","10.1016/J.JHYDROL.2015.03.052"
"Can satellite land surface temperature data be used similarly to river discharge measurements for distributed hydrological model calibration?","10.1080/02626667.2013.866709"
"A baseline climatology of sounding-derived parameters associated with heavy rainfall over gauteng, south africa","10.1002/JOC.3967"
"Sea surface temperature and torrential rains in the valencia region: modelling the role of recharge areas","10.5194/NHESS-15-1677-2015"
"Cloud-to-ground lightning distribution and its relationship with orography and anthropogenic emissions in the po valley","10.1175/JAMC-D-14-0037.1"
"Automated identification of enhanced rainfall rates using the near-storm environment for radar precipitation estimates","10.1175/JHM-D-13-042.1"
"A diagnostic study of a summer convective precipitation event in the czech republic using a nonhydrostatic nwp model","10.1016/S0169-8095(03)00073-5"
"The challenge of predicting flash floods from thunderstorm rainfall","10.1098/RSTA.2002.1015"
"Impact of soil surface moisture initialization on rainfall in a limited area model: a case study of the 1995 south ticino flash flood","10.1002/HYP.1063"
"High resolution radar quantitative precipitation estimation in the san francisco bay area: rainfall monitoring for the urban environment","10.2151/JMSJ.2018-016"
"Cloudbursts in indian himalayas: a review","10.1016/J.EARSCIREV.2017.03.006"
"Characterization of floods in the united states","10.1016/J.JHYDROL.2017.03.010"
"High-impact hydrologic events and atmospheric rivers in california: an investigation using the ncei storm events database","10.1002/2017GL073077"
"A method for probabilistic flash flood forecasting","10.1016/J.JHYDROL.2016.04.007"
"Impact of temporal resolution of inputs on hydrological model performance: an analysis based on 2400 flood events","10.1016/J.JHYDROL.2016.04.016"
"A review of atmospheric and land surface processes with emphasis on flood generation in the southern himalayan rivers","10.1016/J.SCITOTENV.2016.02.206"
"The modular aerial sensing system","10.1175/JTECH-D-15-0067.1"
"Short-term probabilistic forecasts of the 31 may 2013 oklahoma tornado and flash flood event using a continuous-update-cycle storm-scale ensemble system","10.1175/WAF-D-15-0160.1"
"Regional reconstruction of flash flood history in the guadarrama range (central system, spain)","10.1016/J.SCITOTENV.2016.01.074"
"Towards multi-agency sensor information integration for disaster management","10.1016/J.COMPENVURBSYS.2015.11.005"
"Ecogenesis of the huang he headwaters","10.1007/978-3-319-30475-5\_13"
"Improving flash flood forecasts the hmt-wpc flash flood and intense rainfall experiment","10.1175/BAMS-D-14-00201.1"
"Prediction of flash flood hazard impact from himalayan river profiles","10.1002/2015GL063784"
"Detecting areas affected by flood using multi-temporal alos palsar remotely sensed data in karawang, west java, indonesia","10.1007/S11069-015-1633-X"
"Impact of a recharge dam on the hydropedology of arid zone soils in oman: anthropogenic formation factor","10.1061/(ASCE)HE.1943-5584.0000886"
"Elemental composition of the laguna potrok aike sediment sequence reveals paleoclimatic changes over the past 51 ka in southern patagonia, argentina","10.1007/S10933-014-9798-Y"
"Numerical simulations of sheared conditionally unstable flows over a mountain ridge","10.1175/JAS-D-13-0297.1"
"Multi-response calibration of a conceptual hydrological model in the semiarid catchment of wadi al arab, jordan","10.1016/J.JHYDROL.2013.11.026"
"The inventory and characterization of torrential flood phenomenon in serbia",NA
"Assessment of geoeye-1 stereo-pair-generated dem in flood mapping of an ungauged basin","10.2166/HYDRO.2013.197"
"Continuous monitoring of bedload discharge in a small, steep sandy channel","10.1016/J.JHYDROL.2013.05.034"
"How individuals process nws weather warning messages on their cell phones","10.1175/WCAS-D-12-00031.1"
"Physically based hydrological modeling of the 2002 floods in san antonio, texas","10.1061/(ASCE)HE.1943-5584.0000475"
"A diagnostic study of convective environment leading to heavy rainfall during the summer monsoon 2010 over pakistan","10.1016/J.ATMOSRES.2012.08.021"
"Selective consequences of catastrophes for growth rates in a stream-dwelling salmonid","10.1007/S00442-011-2096-8"
"Meandering and bank erosion of the river nile and its environmental impact on the area between sohag and el-minia, egypt","10.1007/S12517-009-0048-Y"
"The ka'(u)over-bar storm (november 2000): imaging precipitable water using gps","10.1029/2003JD003413"
"Contribution of large-scale circulation anomalies to changes in extreme precipitation frequency in the united states","10.1088/1748-9326/11/4/044003"
"Devastation in the kedarnath (mandakini) valley, garhwal himalaya, during 16-17 june 2013: a remote sensing and ground-based assessment","10.1007/S11069-015-2033-Y"
"Improvement of rainfall and flood forecasts by blending ensemble nwp rainfall with radar prediction considering orographic rainfall","10.1016/J.JHYDROL.2015.04.055"
"Quantitative precipitation estimation from a c-band dual-polarized radar for the 8 july 2013 flood in toronto, canada","10.1175/JHM-D-15-0003.1"
"A dynamic runoff co-efficient to improve flash flood early warning in europe: evaluation on the 2013 central european floods in germany","10.1002/MET.1469"
"On predicting debris flows in arid mountain belts","10.1016/J.GLOPLACHA.2014.12.005"
"Changes of rainfall extremes around the haor basin areas of bangladesh using multi-member ensemble rcm","10.1007/S00704-014-1101-7"
"Characterization of mediterranean hail-bearing storms using an operational polarimetric x-band radar","10.5194/AMT-8-4681-2015"
"Temporal variability in insectivorous bat activity along two desert streams with contrasting patterns of prey availability","10.1016/J.JARIDENV.2013.11.016"
"A hydro-sedimentary modeling system for flash flood propagation and hazard estimation under different agricultural practices","10.5194/NHESS-14-625-2014"
"Optimizing satellite-based precipitation estimation for nowcasting of rainfall and flash flood events over the south african domain","10.3390/RS5115702"
"Karst flash-flood forecasting in the city of nimes (southern france)","10.1016/J.ENGGEO.2013.06.007"
"The potential of cellular network infrastructures for sudden rainfall monitoring in dry climate regions","10.1016/J.ATMOSRES.2013.01.004"
"Analysis of the marmara flood in turkey, 7-10 september 2009: an assessment from hydrometeorological perspective","10.1007/S11069-012-0521-X"
"Sensitivity of hydrological ensemble forecasts to different sources and temporal resolutions of probabilistic quantitative precipitation forecasts: flash flood case studies in the cevennes-vivarais region (southern france)","10.1002/HYP.9543"
"Impact of a river flash flood on microbial carbon and nitrogen production in a mediterranean lagoon (thau lagoon, france)","10.1016/J.ECSS.2012.08.004"
"Topographic predictors of susceptibility to alluvial fan flooding, southern apennines","10.1002/ESP.3197"
"Lightning activity, rainfall and flash flooding - occasional or interrelated events? A case study in the island of crete","10.5194/NHESS-12-881-2012"
"Pleistocene calcareous aeolian-alluvial deposition in a steep relief karstic coastal belt (island of hvar, eastern adriatic, croatia)","10.1016/J.SEDGEO.2011.05.005"
"Analysis and simulation of mesoscale convective systems accompanying heavy rainfall: the goyang case","10.1007/S13143-011-0015-X"
"The mersade (european union) project: testing procedures and environmental impact for the safe storage of liquid mercury in the almaden district, spain","10.1016/J.SCITOTENV.2010.05.026"
"The quaternary development of tributary channels to the nile river at kom ombo area, eastern desert of egypt, and their implication for groundwater resources","10.1002/HYP.7623"
"Evolution of a debris-rock slide causing a natural dam: the flash flood of rio santa cruz, province of san juan-november 12, 2005","10.1007/S11069-008-9341-4"
"Sensitivity of three mediterranean heavy rain events to two different sea surface fluxes parameterizations in high-resolution numerical modeling","10.1029/2007JD009613"
"Effects of an extreme flash flood on the native fish assemblages across a mediterranean catchment","10.1111/J.1365-2400.2007.00570.X"
"Role of plant height in the submergence tolerance of rice: a simulation analysis using an empirical model","10.1016/J.AGWAT.2006.12.002"
"Fluvial erosion of physically modeled abrasion-dominated slot canyons","10.1016/J.GEOMORPH.2006.04.006"
"Exaptation and flash flood escape in the giant water bugs","10.1023/B:JOIR.0000028567.23481.16"
"Exceptional sequence of severe thunderstorms and related flash floods in may and june 2016 in germany - part 1: meteorological background","10.5194/NHESS-16-2835-2016"
"Creation of a high resolution precipitation data set by merging gridded gauge data and radar observations for sweden","10.1016/J.JHYDROL.2015.11.031"
"Mechanisms producing different precipitation patterns over north-eastern italy: insights from hymex-sop1 and previous events","10.1002/QJ.2731"
"Impact of trmm data on a low-latency, high-resolution precipitation algorithm for flash-flood forecasting","10.1175/JAMC-D-12-0107.1"
"Detection of potentially hazardous convective clouds with a dual-polarized c-band radar","10.5194/AMT-6-2741-2013"
"Information seeking in a flood","10.1108/DPM-05-2012-0059"
"A scenario-incorporating analysis of the propagation of uncertainty to flash flood simulations","10.1016/J.JHYDROL.2012.06.045"
"Sac-sma a priori parameter differences and their impact on distributed hydrologic model simulations","10.1016/J.JHYDROL.2011.12.004"
"The contribution of orographically driven banded precipitation to the rainfall climatology of a mediterranean region","10.1175/JAMC-D-10-05016.1"
"Rainfall-runoff modeling of flash floods in the absence of rainfall forecasts: the case of ``cevenol flash floods","10.1007/S10489-010-0210-Y"
"Remote collection and analysis of witness reports on flash floods","10.1016/J.JHYDROL.2010.05.042"
"Tropical transition of the 2001 australian duck","10.1175/2009MWR3220.1"
"Sieving crusts and macrofaunal activity control soil water repellency in semiarid environments: evidences from se spain","10.1016/J.GEODERMA.2008.03.019"
"Improvement of the analog forecasting method by using local thermodynamic data. Application to autumn precipitation in catalonia","10.1016/J.ATMOSRES.2007.04.002"
"The impact of hurricanes on sedimenting particulate matter in the semi-arid bahia de la paz, gulf of california","10.1016/J.CSR.2007.06.016"
"Temporal patterns of geographic parthenogenesis in a freshwater snail","10.1111/J.1095-8312.2007.00832.X"
"Rainfall cues and flash-flood escape in desert stream insects","10.1007/S10905-007-9089-9"
"Geochemical flood deconvolution in a mediterranean catchment (herault, france) by sr isotopes, major and trace elements","10.1016/J.JHYDROL.2007.01.037"
"Benefits of design modifications to the birkbeck bedload sampler illustrated by flash-floods in an ephemeral gravel-bed channel","10.1002/ESP.1453"
"High resolution simulations of an intense convective precipitation event","10.1007/S00703-006-0200-0"
"A coupled atmospheric-hydrological modeling study of the 1996 ha! Ha! River basin flash flood in quebec, canada","10.1029/2001GL013827"
"A laboratory study on near-miscible co2 injection in steelman reservoir",NA
"Rainfall intensity in the genoa metropolitan area: secular variations and consequences","10.1002/WEA.3208"
"Review of ghg emissions in pakistan compared to saarc countries","10.1016/J.RSER.2017.04.022"
"Changing monsoon and midlatitude circulation interactions over the western himalayas and possible links to occurrences of extreme precipitation","10.1007/S00382-016-3458-Z"
"Geomorphic response to an extreme flood in two mediterranean rivers (northeastern sardinia, italy): analysis of controlling factors","10.1016/J.GEOMORPH.2017.04.014"
"Mapping flash flood severity in the united states","10.1175/JHM-D-16-0082.1"
"A mediterranean nocturnal heavy rainfall and tornadic event. Part i: overview, damage survey and radar analysis","10.1016/J.ATMOSRES.2010.12.024"
"Statistico-dynamical downscaling for mediterranean heavy precipitation","10.1002/QJ.796"
"Effect of radar rainfall time resolution on the predictive capability of a distributed hydrologic model","10.5194/HESS-15-3809-2011"
"Simplicity and complexity of bed load response during flash floods in a gravel bed ephemeral river: a 10 year field study","10.1029/2010WR009160"
"Flow over gabion weirs","10.1061/(ASCE)IR.1943-4774.0000215"
"Degradation of field terraces in the maltese islands - reasons, processes and effects",NA
"The use of radar in hydrological modeling in the czech republic - case studies of flash floods","10.5194/NHESS-6-229-2006"
"Evaluation of the short-term processes forcing the monsoon river floods in bangladesh","10.1080/02508060508691880"
"The fluvial megafan of abarkoh basin (central iran): an example of flash-flood sedimentation in and lands","10.1144/GSL.SP.2005.251.01.04"
"Bajada formation by monsoonal erosion of a subaerial forebulge, sultanate of oman","10.1016/S0037-0738(02)00126-4"
"Hydrological considerations for dam siting in arid regions: a saudi arabian study","10.1080/02626660209492922"
"Evaluation of flash-flood discharge forecasts in complex terrain using precipitation","10.1061/(ASCE)1084-0699(2001)6:4(265)"
"Paleohydrology of flash floods in small desert watersheds in western arizona","10.1029/2000WR900408"
"Towards real-time continental scale streamflow simulation in continuous and discrete space","10.1111/1752-1688.12586"
"Event-based hydrological modeling for detecting dominant hydrological process and suitable model strategy for semi-arid catchments","10.1016/J.JHYDROL.2016.09.001"
"Reconstruction of a flash flood event through a multi-hazard approach: focus on the rwenzori mountains, uganda","10.1007/S11069-016-2458-Y"
"A newly developed dispersal metric indicates the succession of benthic invertebrates in restored rivers","10.1016/J.SCITOTENV.2016.06.251"
"Identification and characterization of rainfall events responsible for triggering of debris flows and shallow landslides","10.1016/J.JHYDROL.2016.01.018"
"Flash flooding in small urban watersheds: storm event hydrologic response","10.1002/2015WR018326"
"Carbon cycling and exports over diel and flood-recovery timescales in a subtropical rainforest headwater stream","10.1016/J.SCITOTENV.2016.01.082"
"Behavior-based detection of application layer distributed denial of service attacks during flash events","10.3906/ELK-1308-188"
"National weather service forecasters use gps precipitable water vapor for enhanced situational awareness during the southern california summer monsoon","10.1175/BAMS-D-14-00095.1"
"Rainfall-runoff modeling of ungauged wadis in arid environments (case study wadi rabigh-saudi arabia)","10.1007/S12517-014-1404-0"
"Measurement and interpolation uncertainties in rainfall maps from cellular communication networks","10.5194/HESS-19-3571-2015"
"Regional estimation of catchment-scale soil properties by means of streamflow recession analysis for use in distributed hydrological models","10.1002/HYP.10101"
"Regional bankfull geometry relationships for southern california mountain streams and hydrologic applications","10.1016/J.GEOMORPH.2014.06.004"
"Performance of operational model precipitation forecast guidance during the 2013 colorado front-range floods","10.1175/MWR-D-14-00007.1"
"Ensemble simulations with perturbed physical parametrizations: pre-hymex case studies","10.1002/QJ.2257"
"Carbon loss by water erosion in drylands: implications from a study of vegetation change in the south-west usa","10.1002/HYP.9741"
"Evolution and architecture of a west mediterranean upper pleistocene to holocene coastal apron-fan system","10.1111/SED.12058"
"Hydrological impact and potential flooding of convective rain cells in a semi-arid environment","10.1080/02626667.2013.841315"
"Rainstorms able to induce flash floods in a mediterranean-climate region (calabria, southern italy)","10.5194/NHESS-14-2423-2014"
"Four-phase equilibrium calculations of carbon dioxide/hydrocarbon/water systems with a reduced method","10.2118/154218-PA"
"Urban geoarchaeology and environmental history at the lost city of the pyramids, giza: synthesis and review","10.1016/J.JAS.2013.02.018"
"The response of hyporheic invertebrate communities to a large flood in the hunter river, new south wales","10.1007/S10750-006-0110-7"
"The use of hbv model for flash flood forecasting","10.5194/NHESS-6-407-2006"
"The 3 november tornadic event during sydney 2000: storm evolution and the role of low-level boundaries","10.1175/1520-0434(2004)019<0022:TNTEDS>2.0.CO;2"
"The use of computerized tomography in the study of sediments: influence of physical, chemical and biological parameters on the measurement of tomographic intensities","10.1139/E03-027"
"Floodwater use and management strategies in valleys of southeast spain","10.1002/LDR.489"
"Analysis of flash flood disaster characteristics in china from 2011 to 2015","10.1007/S11069-017-3052-7"
"Multidomain analyses of a longitudinal human microbiome intestinal cleanout perturbation experiment","10.1371/JOURNAL.PCBI.1005706"
"Demonstrating the value of community-based ('citizen science') observations for catchment modelling and characterisation","10.1016/J.JHYDROL.2017.03.019"
"A regional comparative analysis of empirical and theoretical flood peak-volume relationships","10.1515/JOHH-2016-0042"
"Use of a nonstationary copula to predict future bivariate low flow frequency in the connecticut river basin","10.1002/HYP.10876"
"Regionalization of flow-duration curves through catchment classification with streamflow signatures and physiographic-climate indices","10.1061/(ASCE)HE.1943-5584.0001307"
"Impacts of climate change on precipitation and discharge extremes through the use of statistical downscaling approaches in a mediterranean basin","10.1016/J.SCITOTENV.2015.06.088"
"Sediment supply versus local hydraulic controls on sediment transport and storage in a river with large sediment loads","10.1002/2015JF003436"
"Mesoscale organization and structure of orographic precipitation producing flash floods in the lago maggiore region","10.1002/QJ.2351"
"Anomalous atmospheric events leading to kyushu's flash floods, july 11-14, 2012","10.1007/S11069-014-1134-3"
"Ontogeny of point bars on a river in a cold semi-arid climate","10.1130/B30992.1"
"Assessing flash flood hazard in an arid mountainous region","10.1007/S12517-011-0411-7"
"Recurring features of extreme autumnall rainfall events on the veneto coastal area","10.5194/NHESS-12-2463-2012"
"Human-induced regulations of river channels and implications for hydrological alterations in the pearl river delta, china","10.1007/S00477-011-0456-X"
